"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",250,"l0","1|1|2_2|1|2",-1.355514e+00, 9.927078e+00,-1.454010e-01,-0.088401489, 0.319211279,-0.074161313,-1.2671122356, 9.2013188702,-0.0579614884
"all",500,"l0","1|1|2_2|1|2",-7.564208e-01, 5.652880e+00,-1.222269e-01,-0.088401489, 0.319211279,-0.074161313,-0.6680192974, 5.0301425490,-0.0319105816
"all",100,"l1","1|1|2_2|1|2",-3.043657e+00, 1.893456e+01,-7.541331e-01,-0.088401489, 0.319211279,-0.074161313,-2.9552555929,18.5892389520,-0.6017767154
"all",250,"l1","1|1|2_2|1|2",-1.661635e+00, 1.119875e+01,-2.567022e-01,-0.088401489, 0.319211279,-0.074161313,-1.5732339905,10.4493471179,-0.1627257354
"all",500,"l1","1|1|2_2|1|2",-8.570270e-01, 5.839706e+00,-1.643037e-01,-0.088401489, 0.319211279,-0.074161313,-0.7686254940, 5.2188281875,-0.0782142995
"all",100,"l2","1|1|2_2|1|2",-3.340664e+00, 1.801951e+01,-9.230198e-01,-0.088401489, 0.319211279,-0.074161313,-3.2522626223,17.8639824871,-0.8616499393
"all",250,"l2","1|1|2_2|1|2",-1.985766e+00, 1.082870e+01,-4.647116e-01,-0.088401489, 0.319211279,-0.074161313,-1.8973644587,10.2501444129,-0.4377824468
"all",500,"l2","1|1|2_2|1|2",-1.087954e+00, 6.410582e+00,-3.102446e-01,-0.088401489, 0.319211279,-0.074161313,-0.9995522226, 5.8360598517,-0.2181645759
"all",100,"er","1|2_1|1",-9.632071e-01, 1.133223e+01, 1.335844e-01,-0.028782834, 0.323713523,-0.020402732,-0.9344242405,10.6475221315, 0.0839975218
"all",250,"er","1|2_1|1",-5.148329e-01, 5.404612e+00, 4.285359e-02,-0.028782834, 0.323713523,-0.020402732,-0.4860500190, 4.8403240352,-0.0038504122
"all",500,"er","1|2_1|1",-2.956139e-01, 3.172378e+00, 2.220155e-02,-0.028782834, 0.323713523,-0.020402732,-0.2668310897, 2.6157327986, 0.0213556770
"all",100,"l0","1|2_1|1",-1.006007e+00, 1.187162e+01, 1.239956e-01,-0.028782834, 0.323713523,-0.020402732,-0.9772239250,11.1720436534, 0.0737512704
"all",250,"l0","1|2_1|1",-4.958021e-01, 5.171544e+00, 3.946092e-02,-0.028782834, 0.323713523,-0.020402732,-0.4670192680, 4.6106629530, 0.0088269644
"all",500,"l0","1|2_1|1",-3.050859e-01, 3.383233e+00, 2.597163e-02,-0.028782834, 0.323713523,-0.020402732,-0.2763030430, 2.8057182541, 0.0367530525
"all",100,"l1","1|2_1|1",-1.505378e+00, 1.192839e+01,-1.712843e-01,-0.028782834, 0.323713523,-0.020402732,-1.4765950906,11.3650313319,-0.1788639292
"all",250,"l1","1|2_1|1",-6.796544e-01, 5.649509e+00,-4.620745e-02,-0.028782834, 0.323713523,-0.020402732,-0.6508715381, 5.0760325225,-0.0606894495
"all",500,"l1","1|2_1|1",-3.678128e-01, 3.350204e+00,-2.511269e-02,-0.028782834, 0.323713523,-0.020402732,-0.3390299753, 2.7671723595,-0.0076621519
"all",100,"l2","1|2_1|1",-1.759149e+00, 1.138166e+01,-4.634202e-01,-0.028782834, 0.323713523,-0.020402732,-1.7303665604,10.9226400889,-0.4674563177
"all",250,"l2","1|2_1|1",-9.258853e-01, 5.813204e+00,-2.598522e-01,-0.028782834, 0.323713523,-0.020402732,-0.8971024229, 5.3390448613,-0.2451617751
"all",500,"l2","1|2_1|1",-5.500458e-01, 3.793621e+00,-1.237991e-01,-0.028782834, 0.323713523,-0.020402732,-0.5212629445, 3.2537904832,-0.1213725584
"all",100,"er","1|2_2|2",-1.537813e+00, 1.300476e+01,-2.200128e-01,-0.024915383, 0.339193877,-0.029273578,-1.5128977011,12.4549128939,-0.1158978584
"all",250,"er","1|2_2|2",-6.706704e-01, 5.824969e+00,-7.412323e-02,-0.024915383, 0.339193877,-0.029273578,-0.6457550332, 5.3575329100, 0.0002936762
"all",500,"er","1|2_2|2",-2.237111e-01, 2.189894e+00,-5.951276e-03,-0.024915383, 0.339193877,-0.029273578,-0.1987957323, 1.7471426052, 0.0147178393
"all",100,"l0","1|2_2|2",-1.548589e+00, 1.332753e+01,-1.991291e-01,-0.024915383, 0.339193877,-0.029273578,-1.5236738127,12.7560160203,-0.0886224067
"all",250,"l0","1|2_2|2",-6.714945e-01, 5.633982e+00,-7.947231e-02,-0.024915383, 0.339193877,-0.029273578,-0.6465791487, 5.2019728353,-0.0105158098
"all",500,"l0","1|2_2|2",-2.309936e-01, 2.279293e+00,-1.516940e-02,-0.024915383, 0.339193877,-0.029273578,-0.2060782525, 1.8190467615, 0.0097865052
"all",100,"l1","1|2_2|2",-1.996841e+00, 1.426680e+01,-4.913220e-01,-0.024915383, 0.339193877,-0.029273578,-1.9719255160,13.7641697060,-0.2977048007
"all",250,"l1","1|2_2|2",-7.964445e-01, 5.892652e+00,-1.494858e-01,-0.024915383, 0.339193877,-0.029273578,-0.7715291357, 5.5039374259,-0.0987757220
